loc_rowid,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
1,Radial Velocity,2007,Xinglong Station,326.03000000,12.100,1.080,6165.60000,19.40000,19.100000,
2,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997000,12.300,1.090,4684.81420,14.74000,13.800000,
3,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84000000,12.900,1.150,1525.50000,4.80000,3.900000,
4,Radial Velocity,2002,W. M. Keck Observatory,1773.40002000,12.900,1.150,1481.08780,4.66000,3.790000,
5,Radial Velocity,1996,Multiple Observatories,798.50000000,13.500,1.200,565.73740,1.78000,1.260000,
6,Radial Velocity,2020,Lick Observatory,578.38000000,12.900,1.150,1373.01872,4.32000,3.510000,
7,Radial Velocity,2008,Okayama Astrophysical Observatory,993.30000000,12.500,1.110,3273.50000,10.30000,9.210000,
8,Imaging,2008,Gemini Observatory,,18.647,1.664,3000.00000,8.00000,2.540000,1700
9,Radial Velocity,2018,Okayama Astrophysical Observatory,30.35060000,13.900,1.240,289.22530,0.91000,0.592000,
10,Radial Velocity,2010,Lick Observatory,452.80000000,13.400,1.190,632.46000,1.99000,1.440000,
11,Radial Velocity,2010,Lick Observatory,883.00000000,13.900,1.240,273.32000,0.86000,0.559000,
12,Imaging,2021,Subaru Telescope,,13.000,1.160,1271.31363,4.00000,3.180000,1450
13,Imaging,2013,Paranal Observatory,,12.300,1.100,4131.79000,13.00000,12.200000,
14,Imaging,2013,W. M. Keck Observatory,,11.209,1.000,7786.50000,24.50000,30.400000,1600
15,Imaging,2015,Cerro Tololo Inter-American Observatory,,16.141,1.440,4417.83700,13.90000,5.770000,
16,Imaging,2010,Hubble Space Telescope,,12.600,1.130,2383.60000,7.50000,6.550000,
17,Imaging,2004,Paranal Observatory,,12.900,1.150,1589.15000,5.00000,4.070000,1250
18,Eclipse Timing Variations,2015,Kepler,406.00000000,13.400,1.200,603.87700,1.90000,1.380000,
19,Imaging,2009,W. M. Keck Observatory,7336.50000000,10.310,0.920,6657.48000,20.95000,33.400000,2075
20,Imaging,2016,W. M. Keck Observatory,,12.300,1.100,3972.87500,12.50000,11.700000,
21,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001000,12.300,1.100,4392.41060,13.82000,13.000000,
22,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.30000000,12.700,1.130,2256.50000,7.10000,6.050000,
23,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.10000000,13.000,1.160,1233.13000,3.88000,3.080000,
24,Radial Velocity,1996,Lick Observatory,1078.00000000,13.200,1.180,804.08000,2.53000,1.920000,
25,Radial Velocity,2001,Lick Observatory,2391.00000000,14.200,1.270,171.62100,0.54000,0.329000,
26,Radial Velocity,2009,Lick Observatory,14002.00000000,13.500,1.200,521.22000,1.64000,1.160000,
27,Imaging,2015,Gemini Observatory,11688.00000000,13.400,1.190,635.66000,2.00000,1.450000,700
28,Radial Velocity,1995,Haute-Provence Observatory,4.23078500,14.300,1.270,146.20180,0.46000,0.275000,
29,Radial Velocity,1996,Lick Observatory,14.65160000,13.900,1.240,263.97850,0.83060,0.540000,700
30,Radial Velocity,2004,McDonald Observatory,44.39890000,8.510,0.760,54.47380,0.17140,0.486000,
31,Radial Velocity,2002,Lick Observatory,5574.20000000,13.000,1.160,1232.49300,3.87800,3.080000,
32,Radial Velocity,2004,McDonald Observatory,0.73654740,1.875,0.167,7.99000,0.02514,6.660000,1958
33,Radial Velocity,2007,Multiple Observatories,259.88000000,7.590,0.677,44.81200,0.14100,0.563000,
34,Radial Velocity,2008,Okayama Astrophysical Observatory,934.30000000,13.400,1.190,638.83830,2.01000,1.460000,
35,Radial Velocity,2009,Multiple Observatories,4.21500000,2.110,0.188,5.10000,0.01600,2.980000,
36,Radial Velocity,2009,Multiple Observatories,38.02100000,4.460,0.398,18.20000,0.05700,1.130000,
37,Radial Velocity,2009,Multiple Observatories,123.01000000,5.110,0.456,22.90000,0.07200,0.943000,
38,Radial Velocity,2011,Anglo-Australian Telescope,735.10000000,13.400,1.200,587.98550,1.85000,1.340000,
39,Radial Velocity,2019,Multiple Observatories,996.00000000,13.900,1.240,276.51210,0.87000,0.566000,
40,Radial Velocity,1996,Lick Observatory,116.68800000,12.600,1.130,2380.45000,7.49000,6.540000,
41,Radial Velocity,2012,Okayama Astrophysical Observatory,691.90000000,13.100,1.170,953.49000,3.00000,2.330000,
42,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.40000000,13.600,1.220,416.35730,1.31000,0.910000,
43,Radial Velocity,2008,Okayama Astrophysical Observatory,952.70000000,12.800,1.140,1684.40000,5.30000,4.410000,
44,Radial Velocity,2013,Lick Observatory,181.40000000,13.100,1.170,1017.00000,3.20000,2.490000,
45,Imaging,2022,Subaru Telescope,,12.500,1.120,2860.45566,9.00000,8.050000,
46,Imaging,2005,Paranal Observatory,,12.300,1.100,4290.50000,13.50000,12.700000,
47,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.46299910,4.070,0.363,20.12000,0.06330,1.320000,593
48,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.85899100,3.240,0.289,9.60000,0.03020,1.220000,454
49,Radial Velocity,2017,Multiple Observatories,481.90000000,12.700,1.130,2034.11200,6.40000,5.460000,
50,Radial Velocity,2009,McDonald Observatory,268.94000000,13.800,1.230,330.54320,1.04000,0.691000,
51,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22000000,13.800,1.230,337.21763,1.06100,0.705000,
52,Radial Velocity,2013,McDonald Observatory,137.48000000,13.700,1.230,352.78000,1.11000,0.754000,
53,Radial Velocity,2009,McDonald Observatory,379.63000000,11.600,1.030,17668.16970,55.59000,62.200000,
54,Radial Velocity,2009,McDonald Observatory,621.99000000,12.400,1.100,3963.17000,12.47000,11.400000,
55,Radial Velocity,2012,McDonald Observatory,578.20000000,13.000,1.160,1334.88600,4.20000,3.340000,
56,Transit,2016,K2,41.68550000,2.578,0.230,22.24810,0.07000,7.890000,546
57,Radial Velocity,2021,Haute-Provence Observatory,307.88000000,13.600,1.210,432.24663,1.36000,0.944000,
58,Radial Velocity,2011,McDonald Observatory,392.60000000,13.900,1.240,289.22530,0.91000,0.592000,
59,Radial Velocity,2018,Multiple Observatories,733.00000000,13.500,1.200,540.31100,1.70000,1.210000,
60,Radial Velocity,2015,McDonald Observatory,2590.00000000,13.500,1.210,508.50000,1.60000,1.140000,
61,Radial Velocity,2021,Haute-Provence Observatory,265.59000000,14.000,1.250,228.83645,0.72000,0.458000,
62,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,,14.684,1.310,4767.42610,15.00000,8.270000,1303
63,Radial Velocity,2021,Haute-Provence Observatory,1198.48000000,13.000,1.160,1258.60049,3.96000,3.150000,
64,Radial Velocity,2021,Haute-Provence Observatory,723.20000000,12.000,1.070,7961.60160,25.05000,25.300000,
65,Radial Velocity,2013,La Silla Observatory,3.87280000,2.850,0.254,8.50000,0.02700,2.020000,
66,Radial Velocity,2013,La Silla Observatory,125.94000000,8.380,0.747,53.00000,0.17000,0.495000,
67,Radial Velocity,2009,La Silla Observatory,5.60000000,3.610,0.322,12.71320,0.04000,1.480000,
68,Radial Velocity,2009,La Silla Observatory,237.60000000,12.500,1.110,104.00000,0.33000,0.293000,
69,Radial Velocity,2000,W. M. Keck Observatory,3.48777000,14.100,1.260,187.51970,0.59000,0.368000,
70,Radial Velocity,2014,La Silla Observatory,1634.00000000,14.100,1.250,206.58950,0.65000,0.405000,
71,Radial Velocity,2020,Roque de los Muchachos Observatory,74.20000000,4.040,0.360,15.37000,0.04836,1.280000,
72,Radial Velocity,2007,La Silla Observatory,714.29999000,12.500,1.110,3108.37740,9.78000,8.750000,
73,Radial Velocity,2008,La Silla Observatory,655.60000000,12.800,1.150,1620.90000,5.10000,4.250000,
74,Radial Velocity,2020,Calar Alto Observatory,2.29070000,1.820,0.162,3.95000,0.01243,3.600000,464
75,Imaging,2011,W. M. Keck Observatory,10037.50000000,12.400,1.110,3337.10000,10.50000,9.620000,370
76,Imaging,2021,Hubble Space Telescope,8040000.00000000,20.849,1.860,2479.06157,7.80000,1.500000,1800
77,Imaging,2006,Hubble Space Telescope,,12.300,1.100,3994.48600,12.56900,11.800000,
78,Radial Velocity,2019,Multiple Observatories,8.98910000,12.400,1.110,3686.82800,11.60000,10.600000,
79,Imaging,2021,NASA Infrared Telescope Facility (IRTF),402000000.00000000,12.442,1.110,2002.31896,6.30000,5.710000,434
80,Imaging,2007,Paranal Observatory,,24.660,2.200,5403.00000,17.00000,1.980000,2600
81,Transit,2008,CoRoT,1.50895570,16.700,1.490,327.35000,1.03000,0.380000,1898
82,Transit,2010,CoRoT,13.24060000,10.870,0.970,874.00000,2.75000,3.700000,600
83,Transit,2010,CoRoT,2.99433000,16.030,1.430,740.51000,2.33000,0.990000,1657
84,Transit,2010,CoRoT,2.82804200,16.140,1.440,291.43800,0.91700,0.411000,1442
85,Transit,2010,CoRoT,4.03519000,9.920,0.885,415.70400,1.30800,2.340000,1700
86,Transit,2010,CoRoT,1.51214000,12.220,1.090,2415.40000,7.60000,7.300000,1952
87,Transit,2011,CoRoT,5.35227000,13.110,1.170,170.03200,0.53500,0.440000,
88,Transit,2011,CoRoT,3.76810000,11.430,1.020,772.29000,2.43000,2.820000,1626
89,Transit,2011,CoRoT,1.90006930,14.680,1.310,1102.82000,3.47000,2.200000,1550
90,Transit,2011,CoRoT,3.89713000,14.460,1.290,352.78000,1.11000,0.710000,2000
91,Transit,2008,CoRoT,1.74299350,16.432,1.466,1102.82000,3.47000,1.470000,1521
92,Transit,2011,CoRoT,9.24285000,9.416,0.840,1366.66900,4.30000,8.870000,1024
93,Radial Velocity,2018,Multiple Observatories,1675.00000000,12.200,1.090,5403.11000,17.00000,16.400000,
94,Transit,2012,CoRoT,2.72474000,14.572,1.300,718.29580,2.26000,1.360000,
95,Transit,2014,CoRoT,9.75598000,4.880,0.435,12.20000,0.03800,0.249000,885
96,Transit,2011,CoRoT,3.63130000,11.770,1.050,889.90000,2.80000,3.000000,1660
97,Transit,2014,CoRoT,5.11340000,3.700,0.330,5.70000,0.01800,0.900000,1070
98,Transit,2014,CoRoT,11.75900000,5.000,0.440,28.00000,0.08800,1.300000,850
99,Transit,2013,CoRoT,4.86069000,12.110,1.080,85.81000,0.27000,0.150000,1330
100,Transit,2013,CoRoT,4.20474000,14.120,1.260,165.26000,0.52000,0.280000,1600
101,Transit,2014,CoRoT,3.57532000,11.287,1.007,3302.11000,10.39000,12.600000,1500
102,Transit,2015,CoRoT,5.20851000,10.705,0.955,153.82972,0.48400,0.690000,
103,Transit,2015,CoRoT,2.85057000,10.088,0.900,270.15550,0.85000,1.450000,
104,Transit,2008,CoRoT,4.25680000,11.320,1.010,6883.91000,21.66000,26.400000,1695
105,Transit,2020,CoRoT,9.06005000,11.310,1.009,921.70700,2.90000,3.450000,
106,Transit,2020,CoRoT,4.62941000,16.365,1.460,266.97720,0.84000,0.330000,
107,Transit,2008,CoRoT,9.20205000,13.340,1.190,228.83000,0.72000,0.525000,1074
108,Transit,2009,CoRoT,4.03789620,15.558,1.388,148.42000,0.46700,0.217000,1438
109,Transit,2009,CoRoT,8.88659300,13.068,1.166,940.74000,2.96000,2.320000,1017
110,Transit,2009,CoRoT,0.85359163,1.681,0.150,4.07661,0.01283,6.610000,1756
111,Radial Velocity,2009,CoRoT,3.69800000,2.830,0.253,8.40000,0.02643,2.040000,
112,Transit,2010,CoRoT,6.21229000,6.390,0.570,69.92000,0.22000,1.600000,870
113,Transit,2009,CoRoT,95.27265600,11.949,1.066,266.97720,0.84000,0.860000,420
114,Transit,2017,CoRoT,6.71837000,6.389,0.570,47.67450,0.15000,1.100000,938
115,Eclipse Timing Variations,2018,Multiple Facilities,4098.10000000,12.400,1.100,3823.27330,12.02930,11.000000,
116,Astrometry,2013,Paranal Observatory,246.36000000,11.900,1.060,9057.77000,28.50000,29.500000,
117,Imaging,2004,Subaru Telescope,,30.264,2.700,3496.00000,11.00000,0.693000,2200
118,Radial Velocity,2019,La Silla Observatory,18.57000000,5.290,0.472,24.27000,0.07636,0.901000,877
119,Radial Velocity,2019,La Silla Observatory,6.58400000,3.060,0.273,9.60000,0.03020,1.840000,1239
120,Radial Velocity,2019,La Silla Observatory,2.88200000,1.650,0.147,3.35000,0.01054,4.100000,1632
121,Radial Velocity,2019,La Silla Observatory,5.51600000,1.860,0.166,4.13000,0.01299,3.530000,1314
122,Radial Velocity,2019,Multiple Facilities,5.20720000,14.300,1.280,138.89171,0.43700,0.261000,1000
123,Radial Velocity,2019,La Silla Observatory,6.67320000,1.410,0.126,2.58000,0.00812,5.060000,854
124,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,10220.00000000,12.700,1.140,1995.88832,6.28000,5.350000,
125,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),8.13826800,5.700,0.509,413.17900,1.30000,,850
126,Transit,2020,K2,6.79870000,1.047,0.093,1.15000,0.00360,5.510000,
127,Transit,2019,K2,28.16560000,1.870,0.167,4.16000,0.01310,3.500000,
128,Transit,2021,K2,0.72091000,1.500,0.134,2.86000,0.00899,4.660000,
129,Transit,2019,K2,2.13174000,0.692,0.062,0.26000,0.00082,4.310000,
130,Transit,2021,K2,0.87721400,1.300,0.116,2.24000,0.00705,5.600000,1874
131,Transit,2019,K2,3.80464000,1.220,0.109,1.98000,0.00624,5.990000,
132,Transit,2019,K2,2.71578000,1.030,0.092,1.08000,0.00340,5.430000,
133,Transit,2020,K2,2.04780000,0.908,0.081,0.68800,0.00217,5.050000,
134,Transit,2019,K2,3.96151000,1.000,0.089,0.97200,0.00306,5.340000,
135,Transit,2019,K2,4.16980000,1.040,0.093,1.12000,0.00352,5.470000,
136,Transit,2019,K2,8.05072200,1.310,0.117,2.27000,0.00714,5.550000,961
137,Transit,2019,K2,4.50756000,1.700,0.152,3.53000,0.01110,3.950000,
138,Transit,2021,K2,0.91172400,1.400,0.125,2.54000,0.00800,5.090000,
139,Transit,2021,K2,14.64753100,2.600,0.232,7.27000,0.02290,2.270000,
140,Transit,2019,K2,2.87814000,1.010,0.090,1.01000,0.00317,5.390000,
141,Transit,2019,K2,5.29860000,1.700,0.152,3.53000,0.01110,3.950000,
142,Transit,2021,K2,0.35488400,1.200,0.107,1.87000,0.00588,5.950000,
143,Transit,2019,K2,2.25543600,1.000,0.089,0.97200,0.00306,5.340000,
144,Transit,2019,K2,1.58252000,0.960,0.086,0.84000,0.00264,5.220000,
145,Transit,2022,K2,17.51547200,2.094,0.187,5.03000,0.01580,3.010000,
146,Transit,2016,K2,21.17019630,1.920,0.171,4.35000,0.01370,3.380000,431
147,Transit,2018,K2,19.49221000,5.760,0.514,27.00000,0.08495,0.650000,817
148,Transit,2019,K2,2.28936300,1.480,0.132,2.79000,0.00879,4.730000,1149
149,Transit,2016,K2,5.21396500,2.270,0.203,5.77000,0.01820,2.710000,866
150,Transit,2019,K2,18.09830000,2.170,0.194,5.35000,0.01680,2.880000,
151,Transit,2019,K2,34.88500000,1.600,0.143,3.19000,0.01000,4.280000,
152,Transit,2019,K2,15.28078000,1.260,0.112,2.13000,0.00669,5.850000,756
153,Transit,2016,K2,23.22855500,2.320,0.207,5.99000,0.01890,2.640000,658
154,Transit,2021,K2,0.57865700,1.200,0.107,1.87000,0.00588,5.950000,
155,Transit,2021,K2,11.81143700,2.300,0.205,5.90000,0.01860,2.660000,
156,Transit,2019,K2,13.60300000,2.586,0.231,7.20000,0.02270,2.290000,536
157,Transit,2019,K2,65.55000000,2.690,0.240,7.70000,0.02420,2.170000,316
158,Transit,2021,K2,0.76240600,0.990,0.088,0.93700,0.00295,5.310000,
159,Transit,2019,K2,0.70531000,1.600,0.143,3.19000,0.01000,4.280000,
160,Transit,2016,K2,0.57121200,1.600,0.143,7.72000,0.02429,8.500000,2119
161,Transit,2016,K2,13.33461500,2.200,0.196,5.80000,0.01825,2.000000,741
162,Transit,2021,K2,0.72811300,1.100,0.098,1.37000,0.00430,5.660000,932
163,Transit,2018,K2,6.18023500,11.781,1.051,953.49000,3.00000,3.100000,1401
164,Transit,2018,K2,3650.00000000,12.442,1.110,4131.79000,13.00000,,183
165,Transit,2020,K2,3.59510000,1.950,0.174,8.75000,0.02753,6.390000,1616
166,Transit,2020,K2,15.62400000,3.670,0.327,14.67000,0.04616,1.620000,990
167,Transit,2020,K2,35.74700000,3.940,0.352,10.18000,0.03203,0.910000,752
168,Imaging,2008,Spitzer Space Telescope,,12.200,1.090,5085.28000,16.00000,15.400000,2375
169,Radial Velocity,2021,Calar Alto Observatory,2.30538000,1.390,0.124,2.50000,0.00787,5.120000,587
170,Radial Velocity,2021,Calar Alto Observatory,8.05180000,1.760,0.157,3.75000,0.01180,3.780000,387
171,Transit,2019,K2,5.74600700,2.025,0.181,4.76000,0.01500,3.150000,456
172,Radial Velocity,2020,La Silla Observatory,3.20400000,1.100,0.098,1.37000,0.00431,5.660000,
173,Radial Velocity,2020,La Silla Observatory,6.68900000,1.180,0.105,1.74000,0.00547,5.820000,
